Speed (Without Acceleration),Angle Speed,Ticks per Step (First),Ticks per Step (Periodic),Ticks per Step (Average),Steps per Second,Angles Before Gravity (Average),Angles Before Reset (Average)
5184,2727,,8,8.0,3.75,43514,119525
5185,2728,,8,8.0,3.75,43528,119560
5186,2729,,8,8.0,3.75,43542,119595
5187,2730,,8,8.0,3.75,43556,119630
5188,2731,,8,8.0,3.75,43570,119665
5189,2732,,8,8.0,3.75,43584,119700
5190,2733,,8,8.0,3.75,43598,119735
5191,2734,,8,8.0,3.75,43612,119770
5192,2735,,8,8.0,3.75,43626,119805
5193,2736,,8,8.0,3.75,43636,119833
5194,2737,,8,8.0,3.75,43650,119868
5195,2738,,8,8.0,3.75,43664,119903
5196,2739,,8,8.0,3.75,43678,119938
5197,2740,,8,8.0,3.75,43692,119973
5198,2741,,8,8.0,3.75,43706,120008
5199,2742,,8,8.0,3.75,43720,120043
5200,2743,,8,8.0,3.75,43734,120078
5201,2744,,8,8.0,3.75,43748,120113
5202,2745,,8,8.0,3.75,43758,120141
5203,2746,,8,8.0,3.75,43772,120176
5204,2747,,8,8.0,3.75,43786,120211
5205,2748,,8,8.0,3.75,43800,120246
5206,2749,,8,8.0,3.75,43814,120281
5207,2750,,8,8.0,3.75,43828,120316
5208,2751,,8,8.0,3.75,43842,120351
5209,2752,,8,8.0,3.75,43856,120386
5210,2753,,8,8.0,3.75,43870,120421
5211,2754,,8,8.0,3.75,43880,120449
5212,2755,,8,8.0,3.75,43894,120484
5213,2756,,8,8.0,3.75,43908,120519
5214,2757,,8,8.0,3.75,43922,120554
5215,2758,,8,8.0,3.75,43936,120589
5216,2759,,8,8.0,3.75,43950,120624
5217,2760,,8,8.0,3.75,43964,120659
5218,2761,,8,8.0,3.75,43978,120694
5219,2762,,8,8.0,3.75,43992,120729
5220,2763,,8,8.0,3.75,44002,120757
5221,2764,,8,8.0,3.75,44016,120792
5222,2765,,8,8.0,3.75,44030,120827
5223,2766,,8,8.0,3.75,44044,120862
5224,2767,,8,8.0,3.75,44058,120897
5225,2768,,8,8.0,3.75,44072,120932
5226,2769,,8,8.0,3.75,44086,120967
5227,2770,,8,8.0,3.75,44100,121002
5228,2771,,8,8.0,3.75,44114,121037
5229,2772,,8,8.0,3.75,44124,121065
5230,2773,,8,8.0,3.75,44138,121100
5231,2774,,8,8.0,3.75,44152,121135
5232,2775,,8,8.0,3.75,44166,121170
5233,2776,,8,8.0,3.75,44180,121205
5234,2777,,8,8.0,3.75,44194,121240
5235,2778,,8,8.0,3.75,44208,121275
5236,2779,,8,8.0,3.75,44222,121310
5237,2780,,8,8.0,3.75,44236,121345
5238,2781,,8,8.0,3.75,44246,121373
5239,2782,,8,8.0,3.75,44260,121408
5240,2783,,8,8.0,3.75,44274,121443
5241,2784,,8,8.0,3.75,44288,121478
5242,2785,,8,8.0,3.75,44302,121513
5243,2786,,8,8.0,3.75,44316,121548
5244,2787,,8,8.0,3.75,44330,121583
5245,2788,,8,8.0,3.75,44344,121618
5246,2789,,8,8.0,3.75,44358,121653
5247,2790,,8,8.0,3.75,44368,121681
5248,2791,,8,8.0,3.75,44382,121716
5249,2792,,8,8.0,3.75,44396,121751
5250,2793,,8,8.0,3.75,44410,121786
5251,2794,,8,8.0,3.75,44424,121821
5252,2795,,8,8.0,3.75,44438,121856
5253,2796,,8,8.0,3.75,44452,121891
5254,2797,,8,8.0,3.75,44466,121926
5255,2798,,8,8.0,3.75,44480,121961
5256,2799,,8,8.0,3.75,44490,121989
5257,2800,,8,8.0,3.75,44504,122024
5258,2801,,8,8.0,3.75,44518,122059
5259,2802,,8,8.0,3.75,44532,122094
5260,2803,,8,8.0,3.75,44546,122129
5261,2804,,8,8.0,3.75,44560,122164
5262,2805,,8,8.0,3.75,44574,122199
5263,2806,,8,8.0,3.75,44588,122234
5264,2807,,8,8.0,3.75,44602,122269
5265,2808,,8,8.0,3.75,44612,122297
5266,2809,,8,8.0,3.75,44626,122332
5267,2810,,8,8.0,3.75,44640,122367
